,bm25,tfidf,jmsmoothing,tfidf_stopping,jmsmoothing_stopping,Lucene,bm25_query_enrichment,bm25_stopping
36,0.5984999999999997,0.6374999999999996,0.6374999999999996,0.6374999999999993,0.6194999999999987,0.635,0.693000000000001,0.5824999999999999
37,0.37833333333333335,0.32000000000000045,0.3450000000000003,0.3975000000000002,0.4266666666666667,0.3899999999999999,0.40916666666666685,0.4016666666666668
38,0.28125,0.220625,0.251875,0.578125,0.5475,0.356875,0.585,0.560625
39,0.6458333333333333,0.5324999999999995,0.5291666666666662,0.6341666666666659,0.6583333333333325,0.5224999999999994,0.6583333333333344,0.6825000000000001
40,0.5769999999999991,0.5850000000000005,0.6579999999999988,0.6899999999999988,0.6849999999999988,0.5879999999999995,0.5289999999999995,0.4909999999999995
42,0.2623809523809522,0.3228571428571423,0.27857142857142825,0.3209523809523808,0.2776190476190472,0.302380952380952,0.36238095238095275,0.2514285714285713
43,0.21756097560975607,0.19756097560975608,0.21707317073170718,0.21999999999999992,0.23000000000000004,0.2682926829268293,0.29902439024390237,0.20804878048780506
44,0.11705882352941151,0.23882352941176424,0.26823529411764685,0.21999999999999972,0.21117647058823485,0.21470588235294089,0.13235294117647028,0.11705882352941151
45,0.41153846153846174,0.28153846153846157,0.3049999999999999,0.27538461538461545,0.2784615384615385,0.3680769230769233,0.47615384615384604,0.2853846153846152
48,0.23666666666666672,0.07333333333333324,0.17916666666666667,0.11416666666666658,0.23000000000000018,0.115,0.15166666666666648,0.1633333333333331
49,0.275,0.5325,0.45625,0.5425,0.50375,0.49875,0.25,0.30625
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,0.3419999999999994,0.17533333333333317,0.2793333333333331,0.31200000000000017,0.3459999999999998,0.34499999999999986,0.38733333333333364,0.3446666666666662
59,0.10186046511627919,0.18581395348837215,0.18674418604651188,0.28581395348837224,0.3141860465116282,0.28279069767441883,0.5130232558139537,0.26767441860465113
60,0.22148148148148145,0.18333333333333335,0.14740740740740735,0.31740740740740736,0.30481481481481476,0.30814814814814806,0.5229629629629625,0.4381481481481485
61,0.3806451612903223,0.33677419354838734,0.3480645161290324,0.4722580645161296,0.511290322580646,0.42580645161290276,0.5625806451612904,0.5235483870967748
62,0.27375,0.23875,0.15,0.36375,0.19625,0.1775,0.25375,0.31125
63,0.7083333333333335,0.6691666666666676,0.6558333333333336,0.6625000000000001,0.6825000000000001,0.7300000000000004,0.744166666666667,0.7075
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
